doc_id,status,chunk_count,text_chunk_count,table_chunk_count,noise_chunk_count,retrievable_count,max_embedding_tokens,over_512_embedding_tokens,error
H3_AP202604271821601533_1,success,48,13,30,5,43,510,0,
H3_AP202604301821834095_1,success,50,14,29,7,43,510,0,
H3_AP202605011821927637_1,success,50,9,20,21,29,439,0,
H3_AP202605051821967894_1,success,43,8,23,12,31,439,0,
H3_AP202605051821972759_1,success,53,9,21,23,30,463,0,
H3_AP202605061821990996_1,success,35,9,22,4,31,464,0,
H3_AP202605061821991586_1,success,46,16,24,6,40,447,0,
H3_AP202605111822159159_1,success,26,13,7,6,20,502,0,
H3_AP202605121822226291_1,success,49,17,26,6,43,459,0,
H3_AP202605141822315416_1,success,54,11,24,19,35,455,0,
H3_AP202605151822345399_1,success,50,10,20,20,30,442,0,
H3_AP202605181822389905_1,success,43,12,25,6,37,478,0,
H3_AP202605181822389924_1,success,46,14,26,6,40,472,0,
H3_AP202605191822428979_1,success,119,35,53,31,88,482,0,
H3_AP202605191822434646_1,success,40,8,13,19,21,436,0,
H3_AP202605201822473329_1,success,35,5,13,17,18,480,0,
H3_AP202605201822487813_1,success,133,63,46,24,109,483,0,
H3_AP202605201822508000_1,success,61,25,19,17,44,476,0,
H3_AP202605211822550836_1,success,51,10,21,20,31,441,0,
H3_AP202605221822679831_1,success,125,38,48,39,86,474,0,
H3_AP202605221822682971_1,success,37,8,12,17,20,435,0,
H3_AP202605221822687702_1,success,53,19,25,9,44,448,0,
H3_AP202605231822827683_1,success,41,8,19,14,27,437,0,
H3_AP202605251822847721_1,success,64,22,29,13,51,471,0,
