doc_id,filename,industry,source_pdf_path,status,parse_method,mineru_backend,mineru_device,total_pages,total_text_chars,markdown_path,metadata,error
H3_AP202604271821601533_1,H3_AP202604271821601533_1.pdf,互联网电商,data/raw_pdfs/e-commercial/H3_AP202604271821601533_1.pdf,skipped,mineru,pipeline,cuda,,13899,data/parsed/mineru/H3_AP202604271821601533_1/H3_AP202604271821601533_1/auto/H3_AP202604271821601533_1.md,"{""report_date"": ""2026-04-27"", ""rating"": ""买入""}",
H3_AP202604301821834095_1,H3_AP202604301821834095_1.pdf,互联网电商,data/raw_pdfs/e-commercial/H3_AP202604301821834095_1.pdf,skipped,mineru,pipeline,cuda,,13902,data/parsed/mineru/H3_AP202604301821834095_1/H3_AP202604301821834095_1/auto/H3_AP202604301821834095_1.md,"{""report_date"": ""2026-04-30"", ""rating"": ""买入""}",
H3_AP202605011821927637_1,H3_AP202605011821927637_1.pdf,互联网电商,data/raw_pdfs/e-commercial/H3_AP202605011821927637_1.pdf,skipped,mineru,pipeline,cuda,,9530,data/parsed/mineru/H3_AP202605011821927637_1/H3_AP202605011821927637_1/auto/H3_AP202605011821927637_1.md,"{""stock_code"": ""301110"", ""report_date"": ""2026-05-01"", ""rating"": ""增持"", ""company_name"": ""青木科技""}",
H3_AP202605051821967894_1,H3_AP202605051821967894_1.pdf,互联网电商,data/raw_pdfs/e-commercial/H3_AP202605051821967894_1.pdf,skipped,mineru,pipeline,cuda,,10744,data/parsed/mineru/H3_AP202605051821967894_1/H3_AP202605051821967894_1/auto/H3_AP202605051821967894_1.md,"{""stock_code"": ""003010"", ""report_date"": ""2026-05-05"", ""rating"": ""买入"", ""company_name"": ""StockAndR若羽臣""}",
H3_AP202605051821972759_1,H3_AP202605051821972759_1.pdf,互联网电商,data/raw_pdfs/e-commercial/H3_AP202605051821972759_1.pdf,skipped,mineru,pipeline,cuda,,9461,data/parsed/mineru/H3_AP202605051821972759_1/H3_AP202605051821972759_1/auto/H3_AP202605051821972759_1.md,"{""stock_code"": ""002315"", ""report_date"": ""2026-05-03"", ""rating"": ""买入"", ""company_name"": ""焦点科技""}",
H3_AP202605061821990996_1,H3_AP202605061821990996_1.pdf,互联网电商,data/raw_pdfs/e-commercial/H3_AP202605061821990996_1.pdf,skipped,mineru,pipeline,cuda,,12419,data/parsed/mineru/H3_AP202605061821990996_1/H3_AP202605061821990996_1/auto/H3_AP202605061821990996_1.md,"{""rating"": ""持有""}",
H3_AP202605061821991586_1,H3_AP202605061821991586_1.pdf,互联网电商,data/raw_pdfs/e-commercial/H3_AP202605061821991586_1.pdf,skipped,mineru,pipeline,cuda,,13639,data/parsed/mineru/H3_AP202605061821991586_1/H3_AP202605061821991586_1/auto/H3_AP202605061821991586_1.md,"{""stock_code"": ""003010"", ""rating"": ""买入"", ""company_name"": ""若羽臣""}",
H3_AP202605111822159159_1,H3_AP202605111822159159_1.pdf,互联网电商,data/raw_pdfs/e-commercial/H3_AP202605111822159159_1.pdf,skipped,mineru,pipeline,cuda,,6182,data/parsed/mineru/H3_AP202605111822159159_1/H3_AP202605111822159159_1/auto/H3_AP202605111822159159_1.md,"{""stock_code"": ""003010"", ""report_date"": ""2026-05-11"", ""rating"": ""增持""}",
H3_AP202605121822226291_1,H3_AP202605121822226291_1.pdf,电力,data/raw_pdfs/power-electronics/H3_AP202605121822226291_1.pdf,skipped,mineru,pipeline,cuda,,18560,data/parsed/mineru/H3_AP202605121822226291_1/H3_AP202605121822226291_1/auto/H3_AP202605121822226291_1.md,"{""stock_code"": ""101746"", ""report_date"": ""2026-03-31"", ""rating"": ""持有""}",
H3_AP202605141822315416_1,H3_AP202605141822315416_1.pdf,电力,data/raw_pdfs/power-electronics/H3_AP202605141822315416_1.pdf,skipped,mineru,pipeline,cuda,,12544,data/parsed/mineru/H3_AP202605141822315416_1/H3_AP202605141822315416_1/auto/H3_AP202605141822315416_1.md,"{""rating"": ""买入""}",
H3_AP202605151822345399_1,H3_AP202605151822345399_1.pdf,电力,data/raw_pdfs/power-electronics/H3_AP202605151822345399_1.pdf,skipped,mineru,pipeline,cuda,,11857,data/parsed/mineru/H3_AP202605151822345399_1/H3_AP202605151822345399_1/auto/H3_AP202605151822345399_1.md,"{""report_date"": ""2026-05-15"", ""rating"": ""买入""}",
H3_AP202605181822389905_1,H3_AP202605181822389905_1.pdf,电力,data/raw_pdfs/power-electronics/H3_AP202605181822389905_1.pdf,skipped,mineru,pipeline,cuda,,16059,data/parsed/mineru/H3_AP202605181822389905_1/H3_AP202605181822389905_1/auto/H3_AP202605181822389905_1.md,"{""rating"": ""持有""}",
H3_AP202605181822389924_1,H3_AP202605181822389924_1.pdf,电力,data/raw_pdfs/power-electronics/H3_AP202605181822389924_1.pdf,skipped,mineru,pipeline,cuda,,16756,data/parsed/mineru/H3_AP202605181822389924_1/H3_AP202605181822389924_1/auto/H3_AP202605181822389924_1.md,"{""rating"": ""增持""}",
H3_AP202605191822428979_1,H3_AP202605191822428979_1.pdf,电力,data/raw_pdfs/power-electronics/H3_AP202605191822428979_1.pdf,skipped,mineru,pipeline,cuda,,42801,data/parsed/mineru/H3_AP202605191822428979_1/H3_AP202605191822428979_1/auto/H3_AP202605191822428979_1.md,"{""report_date"": ""2020-08-24"", ""rating"": ""买入""}",
H3_AP202605191822434646_1,H3_AP202605191822434646_1.pdf,半导体,data/raw_pdfs/semi-conductor/H3_AP202605191822434646_1.pdf,skipped,mineru,pipeline,cuda,,12504,data/parsed/mineru/H3_AP202605191822434646_1/H3_AP202605191822434646_1/auto/H3_AP202605191822434646_1.md,"{""report_date"": ""2017-07-01"", ""rating"": ""买入""}",
H3_AP202605201822473329_1,H3_AP202605201822473329_1.pdf,半导体,data/raw_pdfs/semi-conductor/H3_AP202605201822473329_1.pdf,skipped,mineru,pipeline,cuda,,8947,data/parsed/mineru/H3_AP202605201822473329_1/H3_AP202605201822473329_1/auto/H3_AP202605201822473329_1.md,"{""stock_code"": ""688200"", ""rating"": ""买入""}",
H3_AP202605201822487813_1,H3_AP202605201822487813_1.pdf,半导体,data/raw_pdfs/semi-conductor/H3_AP202605201822487813_1.pdf,skipped,mineru,pipeline,cuda,,50407,data/parsed/mineru/H3_AP202605201822487813_1/H3_AP202605201822487813_1/auto/H3_AP202605201822487813_1.md,"{""stock_code"": ""688008"", ""report_date"": ""2026-05-19"", ""rating"": ""增持""}",
H3_AP202605201822508000_1,H3_AP202605201822508000_1.pdf,半导体,data/raw_pdfs/semi-conductor/H3_AP202605201822508000_1.pdf,skipped,mineru,pipeline,cuda,,19597,data/parsed/mineru/H3_AP202605201822508000_1/H3_AP202605201822508000_1/auto/H3_AP202605201822508000_1.md,"{""report_date"": ""2026-05-20"", ""rating"": ""增持""}",
H3_AP202605211822550836_1,H3_AP202605211822550836_1.pdf,电力,data/raw_pdfs/power-electronics/H3_AP202605211822550836_1.pdf,skipped,mineru,pipeline,cuda,,11496,data/parsed/mineru/H3_AP202605211822550836_1/H3_AP202605211822550836_1/auto/H3_AP202605211822550836_1.md,"{""report_date"": ""2026-05-21"", ""rating"": ""买入""}",
H3_AP202605221822679831_1,H3_AP202605221822679831_1.pdf,半导体,data/raw_pdfs/semi-conductor/H3_AP202605221822679831_1.pdf,skipped,mineru,pipeline,cuda,,36439,data/parsed/mineru/H3_AP202605221822679831_1/H3_AP202605221822679831_1/auto/H3_AP202605221822679831_1.md,"{""report_date"": ""2026-05-15"", ""rating"": ""买入""}",
H3_AP202605221822682971_1,H3_AP202605221822682971_1.pdf,半导体,data/raw_pdfs/semi-conductor/H3_AP202605221822682971_1.pdf,skipped,mineru,pipeline,cuda,,12849,data/parsed/mineru/H3_AP202605221822682971_1/H3_AP202605221822682971_1/auto/H3_AP202605221822682971_1.md,"{""report_date"": ""2017-07-01"", ""rating"": ""买入""}",
H3_AP202605221822687702_1,H3_AP202605221822687702_1.pdf,电力,data/raw_pdfs/power-electronics/H3_AP202605221822687702_1.pdf,skipped,mineru,pipeline,cuda,,11914,data/parsed/mineru/H3_AP202605221822687702_1/H3_AP202605221822687702_1/auto/H3_AP202605221822687702_1.md,"{""report_date"": ""2026-05-22"", ""rating"": ""增持""}",
H3_AP202605231822827683_1,H3_AP202605231822827683_1.pdf,半导体,data/raw_pdfs/semi-conductor/H3_AP202605231822827683_1.pdf,skipped,mineru,pipeline,cuda,,11066,data/parsed/mineru/H3_AP202605231822827683_1/H3_AP202605231822827683_1/auto/H3_AP202605231822827683_1.md,"{""stock_code"": ""688416"", ""report_date"": ""2026-05-22"", ""rating"": ""减持"", ""company_name"": ""StockAndRan恒烁股份""}",
H3_AP202605251822847721_1,H3_AP202605251822847721_1.pdf,半导体,data/raw_pdfs/semi-conductor/H3_AP202605251822847721_1.pdf,skipped,mineru,pipeline,cuda,,16780,data/parsed/mineru/H3_AP202605251822847721_1/H3_AP202605251822847721_1/auto/H3_AP202605251822847721_1.md,"{""stock_code"": ""049908"", ""report_date"": ""2026-05-25"", ""rating"": ""买入"", ""company_name"": ""中国银行大厦四楼""}",
